,Constituency_No,Party,Vote_Share_2016,Vote_Share_2021,Incumbent_2016,Incumbent_2021,Turncoat_2016,Turncoat_2021,Recontest_2016,Recontest_2021,Winner_2016,Winner_2021
47,2,BSP,0.5828543673601554,0.5257803512174715,False,False,False,False,False,False,False,False
48,2,YSP,0.3521411802800939,0.0,False,0,False,0,False,0,False,0
49,2,IND,0.323807981866753,0.2234328798121262,False,False,False,False,False,False,False,False
50,2,IND,0.323807981866753,0.14166595358300768,False,False,False,False,False,False,False,False
51,2,IND,0.323807981866753,0.05514513629405668,False,False,False,False,False,False,False,False
52,2,IND,0.27118918481340565,0.2234328798121262,False,False,False,False,False,False,False,False
53,2,IND,0.27118918481340565,0.14166595358300768,False,False,False,False,False,False,False,False
54,2,IND,0.27118918481340565,0.05514513629405668,False,False,False,False,False,False,False,False
55,2,IND,0.193778839148385,0.2234328798121262,False,False,False,False,False,False,False,False
56,2,IND,0.193778839148385,0.14166595358300768,False,False,False,False,False,False,False,False
57,2,IND,0.193778839148385,0.05514513629405668,False,False,False,False,False,False,False,False
58,2,IND,0.10776734396502874,0.2234328798121262,False,False,False,False,False,False,False,False
59,2,IND,0.10776734396502874,0.14166595358300768,False,False,False,False,False,False,False,False
60,2,IND,0.10776734396502874,0.05514513629405668,False,False,False,False,False,False,False,False
61,2,IND,0.09157694487169109,0.2234328798121262,False,False,False,False,False,False,False,False
62,2,IND,0.09157694487169109,0.14166595358300768,False,False,False,False,False,False,False,False
63,2,IND,0.09157694487169109,0.05514513629405668,False,False,False,False,False,False,False,False
64,2,IND,0.05160689711001377,0.2234328798121262,False,False,False,False,False,False,False,False
65,2,IND,0.05160689711001377,0.14166595358300768,False,False,False,False,False,False,False,False
66,2,IND,0.05160689711001377,0.05514513629405668,False,False,False,False,False,False,False,False
67,3,ADMK,41.835087608864754,39.145144095192244,False,False,False,False,False,False,True,False
68,3,INC,31.430382763287458,0.0,False,0,False,0,False,0,False,0
69,3,PMK,13.307015453511323,0.0,False,0,False,0,False,0,False,0
70,3,DMDK,7.035686505492134,1.6885617992984387,False,False,False,False,False,False,False,False
71,3,BJP,2.484162061787068,0.0,False,0,False,0,False,0,False,0
72,3,NOTA,0.9334154643022539,0.7157473003645368,0,0,0,0,0,0,False,False
73,3,BSP,0.6497039238520024,0.3082227113281519,False,False,False,False,False,False,False,False
74,3,NTK,0.48424299376374164,5.161548249535731,False,False,False,False,False,False,False,False
75,3,IND,0.3934193310522506,0.3821617717862302,False,False,False,False,False,False,False,False
76,3,IND,0.3934193310522506,0.33014650251048905,False,False,False,False,False,False,False,False
